02691156_1a04e3eab45ca15dd86060f189eb133,an airplane with swept wings and a pointed nose
02691156_1a6ad7a24bb89733f412783097373bdc,a commercial aircraft with large engines mounted under the wings
02691156_1a9b552befd6306cc8f2d5fe7449af61,a small propeller plane with a high wing configuration
02773838_1a32f10b20170883663e90eeb6d17864,a storage cabinet with multiple drawers and shelves
02773838_1a4a8592046253ab5ff61a3a2a0e2484,a wooden bookcase with open shelving units
02773838_1a6f615e8b1b5ae4dbbc9440457e303e,a tall cabinet with glass doors and interior lighting
02801938_1ac3cd1e8e8f3d7647b6a5c5976fecfb,a woven basket with handles on both sides
02801938_1b1d81e6c1c5e23a4a2d0c5f0ab8f1b3,a round storage basket made of natural fibers
02808440_1a32b6f62e3e1b0d8e8c3b2a5e7f9c4d,a bathtub with curved edges and a smooth finish
02808440_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a freestanding soaking tub with claw feet
02818832_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a cushioned bench with wooden legs
02818832_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a long seating bench with upholstered surface
02828884_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a waste bin with a hinged lid and pedal mechanism
02843684_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a bunk bed with a ladder and safety rails
02843684_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a platform bed with a low profile headboard
02871439_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a glass bottle with a narrow neck and cork stopper
02871439_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a decorative vase with intricate patterns
02876657_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a plastic bottle with a screw-on cap
02880940_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a decorative bowl with a wide rim
02880940_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a ceramic mixing bowl with smooth glazed surface
02924116_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a tin can with a pull-tab lid
02933112_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a wooden cabinet with sliding doors
02942699_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a digital camera with an attached lens
02946921_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a large tin container with airtight seal
02954340_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a wooden cap with a flat brim
02958343_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a sports car with sleek aerodynamic design
02958343_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a sedan with four doors and a spacious trunk
02958343_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a convertible car with retractable roof
02958343_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a vintage car with round headlights and chrome bumpers
02992529_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a mobile phone with touchscreen display
03001627_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a dining chair with padded seat and backrest
03001627_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,an office chair with adjustable height and armrests
03001627_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a wooden chair with spindle back design
03001627_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a folding chair with metal frame
03046257_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a grandfather clock with ornate wooden casing
03085013_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a desktop computer keyboard with mechanical switches
03207941_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a serving dish with decorative edges
03211117_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a flat screen display monitor
03261776_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a cordless telephone with answering machine
03325088_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a water faucet with lever handle
03337140_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a metal file cabinet with locking mechanism
03467517_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a wooden guitar with six strings
03513137_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a safety helmet with adjustable chin strap
03593526_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a large cooking pot with two handles
03624134_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a pocket knife with multiple fold-out tools
03636649_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a table lamp with fabric shade
03642806_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a laptop computer with backlit keyboard
03691459_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a horn loudspeaker for amplifying sound
03710193_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a mailbox with a hinged door
03759954_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a handheld microphone with windscreen
03761084_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a microwave oven with digital controls
03790512_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a motorcycle with chrome exhaust pipes
03797390_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a coffee mug with ceramic handle
03928116_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a grand piano with polished black finish
03938244_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a decorative pillow with patterned cover
03948459_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a handgun with safety mechanism
03991062_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a flower pot with drainage holes
04004475_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a laser printer with paper tray
04074963_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a remote control with multiple buttons
04090263_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a rifle with wooden stock and scope
04099429_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a rocketship with pointed nose cone
04225987_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a skateboard with colorful deck design
04256520_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a three-seater sofa with cushioned armrests
04330267_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a gas stove with four burners
04379243_1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f,a dining table with rectangular top
04401088_1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,a cordless telephone with numeric keypad
04460130_1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,a decorative tower structure with multiple levels
04468005_1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c,a toy train with multiple cars
04530566_1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,a sailboat vessel with tall mast
04554684_1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e,a washing machine with front-loading door
